100,33774,32442,33108,34622,33930,42904,30912,41950,74804,29608
90,8484700,8122686,8493350,8406022,9574350,8490644,8661716,8981042,11031598,9461442
80,37052619,36705678,38982910,31574000,31412326,32165772,31459690,31387534,31939444,35203429
70,68277646,75920391,72291292,69172614,70527342,67775474,67940214,71697620,70363628,68444116
60,118041900,117945650,117227380,119971262,130485120,152036022,145494536,168006959,129577675,119034272
50,185095884,189593916,183876402,188753160,182631466,186639386,187994010,193658040,188540192,188628170
40,264350424,268181346,264509864,265462574,265059320,263111634,267027140,267837012,263014776,266422858
30,358155324,360023520,362434341,361474626,362517266,362583424,359097650,356517716,411002449,391279024
20,469092142,467402424,473799330,475910952,470670680,487330804,468655790,486303786,469366288,474646068
10,591495308,598846246,604562208,596966624,593582048,596024224,602933000,594665442,654199799,602678938

writeBackAll = 1
